"Edge";"Region 1";"Region 2";"Dice index";"Bootstrap support"
"1";"Him";"Chin";0,285714268684387;0,999
"2";"Him";"Jap";0,288888871669769;0,998
"3";"Bri";"Aus";0,294117629528046;0,987
"4";"Oman";"Alb";0,365853667259216;0,978
"5";"Him";"Alb";0,39130437374115;0,97
"6";"USA";"Pri";0,375;0,962
"7";"Him";"Oman";0,404255330562592;0,954
"8";"Spi";"Lap";0,333333313465118;0,941
"9";"Bri";"USA";0,360000014305115;0,939
"10";"Jap";"Pri";0,444444417953491;0,872
"11";"Bri";"Jap";0,448275864124298;0,867
"12";"Mal";"Adr";0,5;0,757
"13";"Jap";"Mal";0,517241358757019;0,748
"14";"USA";"Spi";0,578947365283966;0,633
"15";"Pri";"Adr";0,555555582046509;0,605
